Name;Position;Age;ca;pa;Nationality;Club;Corners;Crossing;Dribbling;Finishing;First Touch;Free Kick Taking;Heading;Long Shots;Long Throws;Marking;Passing;Penalty Taking;Tackling;Technique;Aggressiion;Anticipation;Bravery;Composure;Concentration;Vision;Decision;Determination;Flair;Leadership;Off The Ball;Position;Teamwork;Work Rate;Acceleration;Agility;Balance;Jumping Reach;Natural Fitness;Pace;Stamina;Strength;Stability;Foul;Contest performance;Injury;diversity;Aerial Reach;Command Of Area;Communication;Eccentricity;Handling;Kicking;One On Ones;Reflexes;Rushing Out;Punching;Throwing;Adaptation;Ambition;Argue;Loyal;Resistant to stress;Professional;Sportsmanship;Emotional control;GK;DL;DC;DR;WBL;WBR;DM;ML;MC;MR;AML;AMC;AMR;ST;Height;Weight;Left Foot;Right Foot;Values;Current reputation;Domestic reputation;World reputation;Race;RCA;Colour of skin;Date of birth;Number of national team appearances;Goals scored for the national team;Salary;Rental club;UID
Luka Modri?;M C;36;179;180;Croatia;R. Madrid;16;16;17;9;20;13;8;14;7;8;19;14;11;19;12;17;14;18;18;19;18;17;13;14;15;15;17;16;12;14;13;7;13;13;13;8;15;12;16;11;16;2;2;1;3;3;1;1;2;1;2;1;10;15;5;17;17;20;19;17;1;1;1;1;1;1;14;8;20;5;1;15;1;1;172;67;13;20;30331138;9000;9265;9000;Northern_European;176;5;09/09/1985;152;22;321918;;653054
Joshua Kimmich;D/DM/M RC;27;178;183;Germany;FC Bayern MÅnchen;15;17;12;11;16;15;11;14;12;13;18;11;12;16;15;15;15;17;13;18;16;20;13;16;12;13;17;20;12;12;13;10;20;12;20;11;18;11;17;6;19;2;3;3;2;3;3;1;1;3;2;2;14;20;8;16;16;20;12;10;1;1;14;16;1;15;20;10;18;12;8;11;8;1;177;75;12;20;120657610;8900;8900;8500;Northern_European;164;3;08/02/1995;68;5;345204;;92039023
Neymar;M/AM LC;30;177;190;Brazil;Paris Saint-Germain;16;16;20;16;18;17;8;15;4;4;17;20;5;20;10;15;14;17;10;17;14;16;20;14;16;4;8;9;15;16;14;6;14;15;13;11;12;12;15;12;12;1;1;1;1;2;2;3;1;1;3;2;16;19;12;11;14;13;6;8;1;1;1;1;1;1;1;18;1;12;20;18;14;15;175;68;14;20;347975206;9000;9104;8750;Mixed_Race;169;11;05/02/1992;119;74;939648;;19024412
Alisson;GK;29;177;180;Brazil;Liverpool;3;3;10;3;15;2;7;3;3;2;14;5;2;14;12;17;14;17;15;11;16;19;13;11;11;18;11;17;13;16;16;13;17;13;12;15;17;5;16;8;1;15;13;14;12;16;15;18;17;16;14;14;16;17;6;14;17;18;15;17;20;1;1;1;1;1;1;1;1;1;1;1;1;1;191;91;9;20;298419213;8850;8650;8250;Northern_European;176;3;02/10/1992;55;0;220384;;19058734
Bernardo Silva;M/AM RC;27;176;180;Portugal;Manchester City;14;15;17;15;17;13;10;13;2;12;17;13;8;18;13;16;15;16;15;17;15;16;17;12;17;13;16;20;15;19;16;7;17;14;17;9;16;10;16;6;13;2;2;1;3;2;1;1;1;2;2;2;15;17;14;11;13;17;12;8;1;1;1;1;1;1;1;12;20;16;12;20;19;9;173;64;20;8;347975206;8800;8750;8500;Mediterranean_Hispanic;174;6;10/08/1994;70;8;208785;;55041632
Manuel Neuer;GK;36;175;193;Germany;FC Bayern MÅnchen;2;6;12;7;12;8;11;7;12;9;15;13;11;12;13;16;15;20;15;15;15;18;12;18;13;16;13;16;11;13;14;17;19;11;12;16;17;4;19;8;5;15;16;14;18;14;18;16;16;20;8;18;8;16;12;18;20;18;12;18;20;1;1;1;1;1;1;1;1;1;1;1;1;1;193;93;12;20;347975206;8750;8750;8500;Northern_European;176;2;27/03/1986;112;0;345204;;8718372
Ederson;GK;28;175;180;Brazil,Portugal;Manchester City;5;2;11;3;14;8;9;12;2;1;18;12;3;17;12;17;18;20;16;17;15;16;2;7;15;13;14;13;14;13;13;13;15;13;14;13;16;5;16;5;2;13;16;13;15;16;20;13;14;17;6;17;16;14;4;12;20;16;10;18;20;1;1;1;1;1;1;1;1;1;1;1;1;1;188;86;20;10;325655872;8750;8500;8500;Mediterranean_Hispanic;173;8;17/08/1993;18;0;208785;;55057659
Rodri;DM C;26;175;175;Spain;Manchester City;7;8;13;9;15;8;13;14;8;12;15;8;17;14;13;18;15;17;16;14;18;13;9;11;13;17;16;16;14;13;12;17;16;13;17;16;17;10;15;4;10;3;1;4;2;3;2;2;2;1;1;1;15;16;6;13;15;18;13;16;1;1;1;1;1;1;20;1;15;1;1;1;1;1;191;75;13;20;347975206;8750;8150;8250;Mediterranean_Hispanic;173;7;22/06/1996;33;1;185587;;67217524
Vin°cius J£nior;AM RL;22;174;184;Brazil,Spain;R. Madrid;7;13;18;16;13;8;11;12;4;3;14;12;6;15;15;14;15;15;13;14;15;18;16;12;16;9;13;15;19;16;14;8;15;17;14;12;13;8;12;5;10;2;1;4;2;1;1;3;4;3;2;3;12;15;12;12;16;14;8;8;1;1;1;1;1;1;1;14;1;10;20;1;15;13;177;62;12;20;281778742;8700;8750;8000;Mixed_Race;165;17;12/07/2000;14;1;215753;;19302146
Marc-AndrÇ ter Stegen;GK;30;174;183;Germany;Barcelona;6;3;3;3;13;9;7;1;3;3;17;4;2;14;11;17;15;18;15;9;13;18;5;14;1;12;14;10;14;14;16;16;15;11;13;15;15;6;15;8;14;13;15;15;12;14;19;14;18;18;10;17;16;18;5;14;17;18;14;8;20;1;1;1;1;1;1;1;1;1;1;1;1;1;187;85;16;20;170775003;8700;8250;7950;Northern_European;172;1;30/04/1992;28;0;164999;;35017428
R£ben Dias;D C;25;174;177;Portugal;Manchester City;4;11;12;6;13;5;15;4;5;17;14;8;18;13;16;17;18;15;16;13;15;18;8;17;8;17;16;17;13;13;12;16;18;13;18;16;18;13;15;4;8;1;3;2;3;1;1;3;1;3;2;2;18;18;8;16;16;18;14;16;1;1;20;1;1;1;1;1;1;1;1;1;1;1;186;83;12;20;347975206;8700;8500;8500;Mediterranean_Hispanic;172;4;14/05/1997;37;2;202986;;55070299
Heung-Min Son;AM/S L;30;173;173;South Korea;Tottenham Hotspur;14;14;16;18;13;13;8;16;6;5;13;9;6;17;8;15;6;17;11;12;14;14;13;13;18;7;14;17;16;14;12;10;16;16;16;10;16;5;14;5;14;2;1;1;3;3;3;1;1;2;2;2;14;17;8;7;14;18;11;15;1;1;1;1;1;1;1;15;1;13;20;11;14;19;183;77;19;20;347975206;8650;8950;8250;10;168;9;08/07/1992;102;33;222704;;92020288
Sadio ManÇ;AM/S RLC;30;172;184;Senegal;FC Bayern MÅnchen;11;12;16;15;16;8;14;12;3;8;14;13;10;17;14;17;15;15;12;14;14;17;16;13;18;9;16;17;15;16;16;12;17;15;14;11;12;9;17;5;11;1;3;1;3;1;3;1;1;2;2;3;18;17;8;13;15;18;12;12;1;1;1;1;1;1;1;1;1;1;20;17;19;18;174;69;14;20;109296006;8600;8800;8600;African_Caribbean;166;17;10/04/1992;87;32;354794;;85100467
Jan Oblak;GK;29;172;178;Slovenia;A. Madrid;5;3;1;3;12;9;1;1;1;1;14;12;2;11;8;11;13;17;16;8;16;15;15;11;3;16;13;13;11;13;13;13;9;13;13;13;16;9;15;5;16;15;15;15;4;18;16;16;19;15;9;14;14;19;7;13;16;10;15;14;20;1;1;1;1;1;1;1;1;1;1;1;1;1;189;84;8;20;120000002;8600;8600;8050;Northern_European;168;5;07/01/1993;50;0;356125;;64016316
Thomas MÅller;AM RC;32;171;174;Germany;FC Bayern MÅnchen;11;17;11;13;13;7;14;10;8;9;16;13;11;13;17;20;13;16;16;18;16;18;13;17;20;11;20;17;12;12;13;13;20;14;19;11;16;9;17;2;18;2;3;2;2;1;1;1;1;3;1;1;10;17;10;20;19;16;10;10;1;1;1;1;1;1;10;10;14;15;11;20;18;15;185;76;13;20;347975206;8545;8545;8495;Northern_European;165;3;13/09/1989;115;42;335615;;35011448
Federico Valverde;M/AM RC;24;169;175;Uruguay,Spain;R. Madrid;13;13;12;11;14;12;12;15;10;13;15;12;13;13;12;14;15;12;14;14;14;15;14;13;15;12;17;17;17;15;15;12;17;17;17;14;15;8;14;6;14;2;3;3;1;3;2;3;3;2;3;2;10;12;7;12;10;14;10;11;1;1;1;10;1;12;13;1;20;17;1;10;16;1;181;74;12;20;99900007;8450;8000;7500;Mediterranean_Hispanic;164;8;22/07/1998;42;4;209790;;78074594
Thiago;DM/M/AM C;31;169;173;Spain,Brazil;Liverpool;13;14;17;9;18;12;10;12;5;12;18;12;15;18;14;16;12;17;14;18;15;15;18;11;15;13;15;15;14;17;15;10;12;11;14;9;14;8;14;12;11;3;2;4;1;1;3;3;3;1;3;3;18;17;12;11;14;16;10;12;1;1;1;1;1;1;20;10;19;10;10;16;10;1;174;70;10;20;347975206;8450;7750;8000;Mixed_Race;162;10;11/04/1991;46;2;260981;;67022040
Aymeric Laporte;D C;28;168;173;Spain,France,Pays Basque;Manchester City;8;11;13;8;15;10;16;11;8;16;16;11;15;15;13;16;15;16;15;16;16;14;12;13;14;16;13;14;14;13;12;16;15;14;15;14;15;8;15;7;8;2;2;2;3;2;1;3;2;1;1;3;13;16;6;15;12;16;13;14;1;13;20;1;1;1;1;1;1;1;1;1;1;1;191;85;20;10;347975206;8400;8000;8250;Mediterranean_Hispanic;168;6;27/05/1994;15;1;150789;;85085378
Thiago Silva;D C;37;168;174;Brazil,France;Chelsea;4;5;9;7;14;8;17;7;7;17;13;14;16;13;17;17;15;20;17;13;17;15;8;19;8;19;15;14;10;12;16;13;14;10;14;14;15;7;13;11;8;4;2;2;3;1;3;2;2;1;1;2;13;17;6;15;11;20;18;15;1;1;20;1;1;1;1;1;1;1;1;1;1;1;183;79;8;20;26674923;8400;8250;7750;Mixed_Race;164;12;22/09/1984;107;7;114999;;8833628
Raheem Sterling;M/AM RL;27;168;180;England,Jamaica;Chelsea;8;13;15;13;13;10;12;12;5;7;13;8;8;13;12;18;11;12;13;13;13;13;14;12;20;9;14;15;18;18;14;8;20;17;18;12;14;4;13;2;14;2;2;3;3;2;1;3;2;1;2;3;18;16;12;8;11;17;10;14;1;1;1;1;1;1;1;16;1;17;20;12;20;12;170;69;8;20;197383136;8400;8400;7750;African_Caribbean;162;15;08/12/1994;77;19;405971;;28054109
N'Golo KantÇ;DM/M C;31;167;170;France,Mali;Chelsea;6;12;11;10;14;8;10;10;6;12;15;9;19;14;15;20;15;14;16;14;16;19;13;5;15;15;20;20;14;13;15;7;18;14;18;11;19;5;20;8;10;1;3;2;2;1;3;3;1;2;3;2;18;13;1;17;15;20;15;15;1;1;1;1;1;1;18;12;20;12;10;14;12;1;168;72;8;20;48067182;8350;8200;8000;African_Caribbean;156;17;29/03/1991;53;2;336376;;85081880
Jo∆o Cancelo;D/WB RL;28;167;167;Portugal;Manchester City;12;16;16;11;15;12;10;12;12;9;16;11;13;17;12;14;12;12;12;16;15;13;17;7;14;13;13;14;16;16;14;11;15;16;14;12;14;13;13;9;14;4;1;1;1;4;3;3;3;3;2;1;12;14;11;10;12;15;12;16;1;18;1;20;15;20;1;11;12;15;1;1;14;1;182;74;11;20;269761478;8350;8500;8000;Mediterranean_Hispanic;153;6;27/05/1994;36;7;208785;;55041623
Kai Havertz;AM/S C;23;167;180;Germany;Chelsea;11;12;14;16;18;11;13;11;8;7;14;12;10;17;11;15;11;17;10;17;16;10;15;7;17;10;15;13;13;13;13;14;16;17;15;13;13;6;16;4;16;2;2;3;1;3;3;3;2;3;2;3;12;14;5;12;16;15;15;19;1;1;1;1;1;1;10;12;14;14;12;20;14;19;186;77;20;10;305612129;8350;7650;7250;Northern_European;160;3;11/06/1999;28;8;173988;;91151081
Jack Grealish;M/AM RLC;26;166;175;England,Republic of Ireland;Manchester City;13;16;17;14;15;11;11;13;3;6;14;12;9;16;11;13;14;14;11;16;13;14;16;12;13;11;14;15;15;15;14;7;15;15;14;14;14;13;14;12;9;3;1;1;1;3;2;2;4;3;1;1;12;16;12;15;16;13;6;10;1;1;1;1;1;1;1;18;14;16;20;20;16;12;175;82;15;20;288514966;8350;7900;7500;Northern_European;158;4;10/09/1995;23;1;313178;;28067800
Antonio RÅdiger;D C;29;166;166;Germany,Sierra Leone;R. Madrid;5;10;10;7;10;9;15;8;14;15;12;7;17;11;18;15;18;13;14;10;17;17;9;18;8;14;13;15;17;9;17;15;15;16;16;18;16;14;12;14;13;3;3;1;2;1;4;1;3;3;3;1;15;17;15;9;13;15;9;11;1;10;20;12;1;1;1;1;1;1;1;1;1;1;190;85;10;20;123524990;8300;7700;7000;African_Caribbean;165;17;03/03/1993;53;2;244754;;92023410
Toni Kroos;DM/M C;32;166;176;Germany;R. Madrid;19;18;14;13;18;14;7;17;8;8;20;13;9;16;9;17;9;18;14;18;17;10;11;12;15;14;16;11;11;10;12;10;12;12;12;14;13;10;14;7;13;1;3;2;3;1;1;3;1;1;1;3;8;14;7;10;14;17;18;17;1;1;1;1;1;1;17;10;20;1;1;11;1;1;183;76;15;20;37521116;8300;8500;7700;Northern_European;164;5;04/01/1990;105;17;359588;;156772
Luis D°az;AM L;25;166;172;Colombia;Liverpool;9;12;18;15;18;10;13;13;4;7;14;5;8;18;13;13;13;14;13;14;13;15;19;4;15;9;13;14;17;17;14;10;15;16;13;10;15;11;17;7;10;1;2;1;1;3;3;4;1;1;3;3;15;14;8;13;16;12;10;13;1;1;1;1;1;1;1;11;1;8;20;13;14;12;180;70;12;20;251912317;8250;8050;7250;Mixed_Race;160;12;13/01/1997;37;8;104393;;76049803
Bruno Fernandes;M/AM C;27;166;174;Portugal;Manchester UFC;16;16;11;15;17;16;10;16;4;3;17;19;8;17;18;16;17;15;14;18;10;17;17;17;17;6;15;15;13;15;13;9;18;14;19;10;12;13;13;3;15;1;1;2;3;3;3;1;1;3;1;1;18;15;5;13;14;17;6;7;1;1;1;1;1;1;1;10;16;10;12;20;14;10;179;69;13;20;265261481;8300;8500;7750;Mediterranean_Hispanic;165;6;08/09/1994;46;8;289979;;43124203
Mason Mount;AM RLC;23;165;170;England;Chelsea;14;12;11;14;15;14;9;12;5;7;15;15;11;15;14;14;15;15;12;12;16;18;13;12;17;14;18;20;15;13;10;9;15;15;20;11;12;6;14;8;12;1;3;2;2;1;3;4;3;2;3;3;16;18;6;13;14;16;16;17;1;1;1;1;1;1;14;1;15;1;16;20;15;1;178;70;12;20;126331239;8244;8244;6894;Northern_European;162;3;10/01/1999;31;4;89314;;28103590
Leroy SanÇ;AM RLC;26;165;175;Germany,France,Senegal;FC Bayern MÅnchen;14;14;18;14;15;16;7;17;3;7;14;11;8;17;13;15;10;14;12;15;14;11;16;4;15;8;11;9;17;16;14;10;15;18;13;11;12;4;14;6;12;2;2;2;4;3;2;1;1;2;4;3;11;16;13;10;12;11;9;7;1;1;1;1;12;12;1;15;10;15;20;17;18;10;183;80;20;9;96400267;8247;8247;7997;Mixed_Race;160;12;11/01/1996;45;11;326026;;91138280
?lkay GÅndogan;DM/M/AM C;31;165;167;Germany,Turkey;Manchester City;10;11;14;13;17;14;7;12;6;10;16;14;13;16;15;17;13;16;14;16;14;13;13;10;16;12;16;15;14;16;14;10;13;13;16;13;17;8;15;11;14;1;2;3;3;2;2;1;1;1;3;3;13;17;6;7;14;16;16;14;1;1;1;1;1;1;16;11;20;10;11;16;10;1;180;80;13;20;61209266;8250;8200;8100;North_African__Middle_Eastern;164;9;24/10/1990;59;14;191386;;91003875
êdouard Mendy;GK;30;165;167;Senegal,Guinea-Bissau,France;Chelsea;2;1;1;3;11;5;8;1;3;2;14;4;1;11;10;14;12;13;16;8;16;12;8;10;3;16;13;10;12;15;14;17;15;11;14;15;15;7;15;6;13;18;16;13;14;16;13;14;16;12;8;12;14;14;7;14;12;14;13;14;20;1;1;1;1;1;1;1;1;1;1;1;1;1;194;89;10;20;222367032;8250;8050;8000;African_Caribbean;164;17;01/03/1992;25;0;57996;;85121966
Yannick Carrasco;WB/M/AM RL;28;164;167;Belgium,Spain,Portugal;A. Madrid;14;13;17;13;14;15;8;13;6;4;14;15;4;17;11;12;10;14;12;15;13;15;16;9;16;7;10;12;16;14;14;10;12;17;13;11;12;10;13;11;12;2;2;1;4;3;1;4;1;3;4;2;10;16;14;9;13;12;12;8;1;14;1;1;19;1;1;18;1;15;20;12;16;10;180;71;14;20;62700001;8100;7750;7400;Mediterranean_Hispanic;153;6;04/09/1993;57;8;164999;;18027198
Reece James;D/WB RC;22;164;170;England;Chelsea;13;16;11;12;14;14;14;11;9;13;13;7;14;15;16;14;18;16;14;11;16;17;12;13;12;13;15;16;15;12;19;10;15;14;15;18;16;10;15;5;13;1;3;1;1;2;2;2;1;3;4;2;8;17;4;12;16;19;15;12;1;10;16;20;10;19;15;1;13;12;1;1;1;1;175;90;10;20;287615409;8400;8200;7000;African_Caribbean;160;11;08/12/1999;13;0;289979;;28108035
David Alaba;D/WB/M LC;30;164;174;Austria,Philippines,Nigeria;R. Madrid;12;11;12;10;15;15;13;14;13;14;16;14;13;15;13;15;12;16;15;13;15;16;12;15;14;16;15;14;15;12;14;12;18;15;15;13;14;8;15;7;19;2;3;1;2;1;1;4;3;3;2;3;12;17;10;14;15;15;12;10;1;20;19;1;17;1;14;12;17;1;12;10;1;1;180;78;20;10;184320073;8200;8200;7450;South_East_Asian;158;15;24/06/1992;94;14;419579;;16010162
Mateo Kova?i?;DM/M C;28;164;172;Croatia,Austria;Chelsea;10;10;17;8;17;12;10;10;7;12;15;12;15;17;14;16;14;18;11;15;16;17;16;11;13;12;15;17;15;15;16;9;12;14;15;15;13;12;13;8;15;3;2;2;1;2;1;2;4;3;2;2;14;14;9;12;14;16;14;17;1;1;1;1;1;1;18;10;20;10;7;15;5;1;178;78;11;20;233998516;8300;8050;7250;Northern_European;164;5;06/05/1994;81;3;173988;;24016925
Kyle Walker;D/WB R;32;164;164;England;Manchester City;8;11;14;7;13;11;13;8;12;14;13;6;13;13;13;16;13;13;13;12;13;16;10;11;13;14;15;16;19;13;13;11;19;18;17;13;18;5;13;7;14;2;2;4;1;3;3;1;1;2;2;1;10;15;7;14;7;13;14;15;5;10;14;20;1;18;1;1;1;5;1;1;5;1;178;83;10;20;347975206;8200;8500;7500;Mixed_Race;154;11;28/05/1990;68;0;202986;;28009441
Marco Verratti;DM/M C;29;164;165;Italy;Paris Saint-Germain;14;17;16;10;18;13;6;13;6;12;18;15;15;17;14;17;16;18;14;18;15;14;18;12;14;13;17;13;12;16;16;6;12;12;12;9;14;12;14;13;12;3;1;2;2;2;4;3;4;3;3;2;12;17;10;14;14;13;7;8;1;1;1;1;1;1;18;1;20;1;1;12;1;1;165;60;10;20;157373875;8195;8195;7245;Mediterranean_Hispanic;163;4;05/11/1992;49;3;276164;;43026579
Leon Goretzka;DM/M/AM C;27;164;170;Germany;FC Bayern MÅnchen;5;11;12;14;15;6;16;15;6;12;15;11;15;15;14;17;16;16;15;15;15;18;12;14;18;13;17;18;12;11;15;16;12;15;17;17;16;9;14;14;18;2;1;2;3;2;3;2;3;2;1;1;12;18;10;10;16;18;15;8;1;10;1;10;10;10;17;12;20;12;10;16;10;1;189;82;10;20;89723700;8200;8200;8000;Northern_European;164;4;06/02/1995;44;14;268492;;91104807
Jorginho;DM/M C;30;164;165;Italy,Brazil;Chelsea;11;12;12;8;18;9;7;9;2;10;18;18;14;16;10;16;14;19;15;18;18;15;13;15;15;14;17;17;11;14;14;9;14;12;17;9;15;10;15;8;6;1;3;2;1;1;2;2;3;1;2;2;11;15;7;12;13;17;13;12;1;1;1;1;1;1;20;1;20;1;1;10;1;1;180;65;9;20;193594995;8199;7749;7249;Mediterranean_Hispanic;158;4;20/12/1991;44;5;127591;;43036641
Marquinhos;D/DM C;28;164;165;Brazil,Portugal;Paris Saint-Germain;4;11;10;8;14;4;15;10;7;16;14;8;16;14;14;17;15;17;17;13;16;17;10;15;8;16;17;15;13;13;16;13;15;14;16;14;15;8;15;8;15;1;1;3;1;3;3;3;1;1;1;3;15;16;7;15;14;18;15;16;1;1;20;14;1;1;16;1;1;1;1;1;1;1;183;75;10;20;191688462;8195;8595;7645;Mixed_Race;164;12;14/05/1994;69;4;276164;;19163495
Phil Foden;AM RLC;22;163;180;England;Manchester City;13;13;17;14;17;13;8;12;5;8;17;12;8;17;7;14;13;15;15;16;14;14;16;8;16;9;14;16;15;17;15;7;14;16;15;9;15;6;16;4;13;2;3;2;2;1;2;1;3;2;1;3;12;15;12;13;12;14;14;16;1;1;1;1;1;1;1;1;14;1;20;20;17;14;171;64;20;9;147976457;8150;8150;8000;Northern_European;161;3;28/05/2000;16;2;139190;;28108494
Frenkie de Jong;DM/M C;25;163;183;Holland;Barcelona;9;11;16;10;17;13;10;8;6;10;16;11;12;16;7;17;11;16;15;18;16;15;15;11;15;14;17;14;14;16;13;10;13;13;13;10;15;2;13;5;17;2;2;1;1;2;2;1;3;3;2;4;14;15;12;14;13;16;16;17;1;1;15;1;1;1;20;10;20;10;10;13;10;1;181;69;12;20;134021250;8100;8000;7450;Northern_European;155;4;12/05/1997;43;1;269230;;37047745
Rafael Le∆o;AM/S L;23;163;176;Portugal,Angola;AC Milan;5;15;17;15;16;6;11;13;6;4;15;12;7;15;9;13;8;13;11;14;13;14;17;8;15;7;13;13;17;18;16;14;15;16;11;14;14;5;12;8;12;2;1;1;1;2;4;2;2;3;2;1;12;16;6;11;12;13;9;12;1;1;1;1;1;1;1;1;1;1;20;14;12;17;188;81;14;20;150000002;8100;7650;6350;African_Caribbean;159;16;10/06/1999;9;0;34423;;83111483
Gabriel Jesus;AM/S RL;25;162;175;Brazil;Arsenal;7;12;16;16;15;11;15;12;4;6;14;13;8;16;12;15;13;15;14;14;15;13;16;8;16;7;15;16;15;16;15;10;15;15;14;13;13;12;14;8;12;1;1;1;2;2;3;2;1;4;1;4;15;13;8;12;14;14;11;11;1;1;1;1;1;1;1;1;1;1;15;11;17;20;175;73;13;20;282622772;8098;7998;7848;African_Caribbean;161;15;03/04/1997;56;19;139190;;19220266
